6.30,1,5,u
7.24,2,6,l
8.18,2,7,u
9.12,1,11,r
10.06,1,0,u
11,10,12,l
11.94,2,13,d
12.88,1,10,r
13.82,2,2,u
14.76,1,1,l
15.70,1,5,d
16.64,2,10,d
17.58,2,10,u
18.52,1,8,l
19.46,1,4,l
20.40,2,6,r
21.09,1,4,l
21.50,1,5,r
21.93,2,7,r
22.40,2,6,l
22.83,2,7,r
23.30,1,1,u
23.75,1,9,d
24.22,1,5,u
24.66,2,11,r
25.16,2,10,l
25.60,2,10,r
26.06,1,5,u
26.54,1,13,d
27.04,2,2,u
27.56,2,10,d
28.01,1,8,l
28.49,2,11,d
28.90,2,3,u
29.36,1,1,u
29.85,1,9,d
30.31,1,8,l
30.79,2,7,r
31.24,2,2,u
31.74,1,12,l
32.24,1,13,d
32.68,2,9,l
33.13,1,1,u
33.59,1,4,l
36.05,1,9,d
36.48,2,10,d
36.90,1,9,d
37.07,1,5,u
37.35,2,10,d
37.52,2,6,u
37.68,1,9,d
39.82,1,9,l
40.22,2,10,r
40.67,2,11,r
40.86,2,10,l
41.14,1,8,l
41.29,1,9,r
41.44,2,11,r
42.55,1,10,r
42.78,1,9,l
43.02,2,5,l
43.23,2,6,r
45.60,2,9,d
45.85,1,10,d
46.33,2,5,u
46.54,2,9,d
46.76,1,10,d
46.96,1,6,u
48.08,1,5,u
48.24,1,9,d
48.51,2,6,u
48.68,2,10,d
48.86,2,6,u
50.97,1,9,d
51.40,2,10,d
51.85,1,8,l
52.31,2,11,r
52.77,1,12,l
53.24,2,15,r
53.69,1,5,u
54.12,2,6,u
57.77,1,9,d
58.02,2,10,d
58.58,1,9,l
58.58,2,5,l
59.02,1,10,r
59.02,2,6,r
61.35,1,9,d
61.77,2,10,d
62.26,1,5,u
62.26,2,6,u
62.66,1,9,d
62.66,2,10,d
65.11,2,6,r
65.61,1,5,l
66.10,1,6,r
66.10,2,10,r
66.49,1,5,l
66.49,2,9,l
68.88,1,1,u
69.33,2,2,u
69.81,1,9,d
69.81,2,10,d
70.23,1,5,u
70.23,2,6,u
70.73,1,4,l
71.54,1,5,r
71.92,2,7,r
75.44,1,13,d
78.94,1,9,d
79.16,2,10,d
82.93,2,14,d
86.52,1,9,l
86.74,2,10,r
90.68,1,8,l
91.61,2,6,u
92.54,1,5,l
93.48,2,11,r
94.41,2,7,u
95.35,1,13,l
96.29,1,14,r
97.23,2,2,u
98.16,1,4,l
99.10,2,10,d
100.04,2,9,l
100.98,1,1,u
101.91,2,14,d
102.85,1,6,r
